Feature,Importance
GGB1582,0.0
GGB1567,0.0
GGB3277,0.0
GGB9089,0.0
GGB9076,0.0
GGB9747,0.0
Sneathia,0.0
GGB9536,0.0
GGB9710,0.0
GGB3491,0.0
GGB3236,0.0
GGB1332,0.0
GGB3343,0.0
GGB9743,0.0
GGB9591,0.0
Olsenella,0.0
GGB1116,0.0
GGB9724,0.0
GGB9687,0.0
GGB3002,0.0
Ruthenibacterium,0.0
GGB74703,0.0
GGB1632,0.0
GGB6470,0.0
GGB3142,0.0
GGB6521,0.0
Sarcina,0.0
GGB1631,0.0
Feifania,0.0
Adlercreutzia,0.0
GGB4641,0.0
GGB4694,0.0
GGB12785,0.0
GGB9763,0.0
GGB8965,0.0
GGB6511,0.0
GGB6128,0.0
GGB4585,0.0
GGB3123,0.0
GGB4564,0.0
GGB6020,0.0
Dialister,0.0
GGB9501,0.0
GGB6544,0.0
GGB52130,0.0
GGB9480,0.0
GGB32900,0.0
GGB4701,0.0
Negativibacillus,0.0
Christensenellaceae_unclassified,0.0
GGB9616,0.0
GGB3602,0.0
GGB50702,0.0
GGB9746,0.0
GGB58233,0.0
GGB6625,0.0
GGB35551,0.0
GGB9454,0.0
GGB9832,0.0
GGB3717,0.0
GGB4266,0.0
GGB9267,0.0
Akkermansia,0.0
Oxalobacter,0.0
GGB4686,0.0
Parabacteroides,0.0
Raoultibacter,0.0
GGB9759,0.0
GGB3475,0.0
GGB4261,0.0
GGB9788,0.0
GGB71580,0.0
GGB13283,0.0
GGB9170,0.0
GGB31184,0.0
GGB1630,0.0
GGB42389,0.0
Monoglobus,0.0
GGB9719,0.0
GGB9075,0.0
GGB9256,0.0
Brotolimicola,0.0
Lactonifactor,0.0
GGB9342,0.0
GGB9108,0.0
GGB9495,0.0
GGB1148,0.0
GGB3585,0.0
GGB1249,0.0
GGB13580,0.0
GGB3480,0.0
GGB9469,0.0
GGB1146,0.0
GGB9186,0.0
Jilunia,0.0
Latilactobacillus,0.0
GGB9563,0.0
Megasphaera,0.0
GGB9590,0.0
GGB4642,0.0
GGB3321,0.0
GGB9529,0.0
GGB2658,0.0
GGB9595,0.0
GGB33516,0.0
Congzhengia,0.0
Holdemania,0.0
GGB6002,0.0
GGB23967,0.0
GGB4723,0.0
GGB28319,0.0
GGB5988,0.0
GGB9173,0.0
Drancourtella,0.0
GGB3109,0.0
Mediterranea,0.0
GGB3058,0.0
GGB9184,0.0
GGB3057,0.0
GGB9620,0.0
GGB9668,0.0
GGB9444,0.0
GGB3100,0.0
GGB34540,0.0
GGB87116,0.0
GGB3615,0.0
GGB9421,0.0
GGB3738,0.0
GGB9708,0.0
Lactococcus,0.0
GGB3360,0.0
Anaerostipes,0.0
Dysosmobacter,0.0
GGB3751,0.0
GGB9334,0.0
GGB4672,0.0
GGB9290,0.0
GGB51139,0.0
GGB9067,0.0
Wujia,0.0
Eubacterium,0.0
GGB79417,0.0
GGB13456,0.0
Puniceicoccaceae_unclassified,0.0
Cuneatibacter,0.0
GGB35597,0.0
GGB12798,0.0
Terrisporobacter,0.0
GGB5979,0.0
