Feature,Importance
Alloscardovia_omnicolens,0.0
Bifidobacterium_breve,0.0
Rothia_mucilaginosa,0.0
Enterocloster_bolteae,0.0
Parabacteroides_goldsteinii,0.0
Streptococcus_oralis,0.0
Limosilactobacillus_mucosae,0.0
Veillonella_dispar,0.0
Parabacteroides_distasonis,0.0
Barnesiella_intestinihominis,0.0
Bacteroides_thetaiotaomicron,0.0
Hafnia_alvei,0.0
Proteus_vulgaris,0.0
Eggerthia_catenaformis,0.0
Propionibacterium_freudenreichii,0.0
Agathobaculum_butyriciproducens,0.0
Pediococcus_pentosaceus,0.0
Granulicatella_adiacens,0.0
Sellimonas_intestinalis,0.0
Bacteroides_salyersiae,0.0
Fusobacterium_ulcerans,0.0
Methanobrevibacter_smithii,0.0
Lactiplantibacillus_pentosus,0.0
Bacteroides_stercorirosoris,0.0
Gordonibacter_pamelaeae,0.0
Eubacterium_ventriosum,0.0
Campylobacter_coli,0.0
Weissella_viridescens,0.0
Staphylococcus_aureus,0.0
Enterococcus_raffinosus,0.0
Barnesiella_viscericola,0.0
Turicibacter_sanguinis,0.0
Roseburia_intestinalis,0.018639703040185248
Paraprevotella_clara,0.0
Faecalicatena_orotica,0.0
Collinsella_aerofaciens,0.0
Clostridium_celatum,0.0
Lachnospiraceae_bacterium_2_1_46FAA,0.0
Blautia_argi,0.0
Staphylococcus_succinus,0.0
Phyllobacterium_myrsinacearum,0.0
Bacteroides_stercoris,0.0
Catenibacterium_mitsuokai,0.0
Enterococcus_durans,0.0
Tetragenococcus_halophilus,0.0
Peptoniphilus_harei,0.0
Monoglobus_pectinilyticus,0.0
Butyricimonas_synergistica,0.0
Lachnospiraceae_bacterium_oral_taxon_096,0.0
Eubacterium_callanderi,0.0
Veillonella_parvula,0.0
Acidaminococcus_fermentans,0.0
Parvimonas_micra,0.0
Amedibacillus_dolichus,0.0
Haemophilus_pittmaniae,0.0
Saccharomyces_cerevisiae,0.0
Parasutterella_excrementihominis,0.0
Erysipelatoclostridium_ramosum,0.0
Paraprevotella_xylaniphila,0.0
Holdemania_filiformis,0.0
Alistipes_onderdonkii,0.0
Blautia_producta,0.0
Bacteroides_ovatus,0.0
Prevotella_bivia,0.0
Bacteroidales_bacterium_KA00251,0.0
Pseudoflavonifractor_capillosus,0.0
Lactobacillus_acidophilus,0.0
Gemella_sanguinis,0.0
Bilophila_wadsworthia,0.0
Alistipes_indistinctus,0.0
Peptoniphilus_lacrimalis,0.0
Streptococcus_gallolyticus,0.0
Bacteroides_eggerthii,0.0
Veillonella_tobetsuensis,0.0
Enterococcus_avium,0.0
Enterococcus_gallinarum,0.0
Haemophilus_parainfluenzae,0.0
Companilactobacillus_versmoldensis,0.0
Blautia_obeum,0.0
Dorea_longicatena,0.0
Latilactobacillus_sakei,0.0
Phocaeicola_dorei,0.0
Streptococcus_infantis,0.0
Adlercreutzia_equolifaciens,0.0
Phocaeicola_vulgatus,0.0
