Corynebacterium_argentoratense,Clostridium_paraputrificum,Clostridium_disporicum,Butyricimonas_synergistica,Actinomyces_oris,Enterococcus_durans,Bifidobacterium_bifidum,Collinsella_aerofaciens,Blautia_obeum,Clostridium_butyricum,Faecalitalea_cylindroides,Bacteroides_intestinalis,Fannyhessea_vaginae,Abiotrophia_defectiva,Coprococcus_comes,Actinotignum_schaalii,Bacteroides_faecis,Enterococcus_faecalis,Christensenella_minuta,Eisenbergiella_tayi,Enterocloster_citroniae,Butyrivibrio_crossotus,Faecalicatena_orotica,Bacteroides_uniformis,Aggregatibacter_aphrophilus,Desulfovibrio_piger,Bifidobacterium_pseudocatenulatum,Adlercreutzia_equolifaciens,Citrobacter_portucalensis,Actinomyces_graevenitzii,Disease
0.0,0.0,0.0,0.0,0.0,0.0,0.00643,0.17281,0.01942,0.0,0.0,0.0,0.0,0.0,0.25901,0.0,0.0,0.0,0.0,0.0,0.0,2.43722,0.0,0.02775,0.0,0.02171,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08597,0.10799,0.0,0.0,0.0,0.0,0.0,1.08953,0.0,0.0,0.0,0.00055,0.0074,0.0,0.0,0.0,14.27006,0.0,0.0,0.0,0.0119,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23013,0.09026,0.0,0.0,3.35494,0.0,0.0,0.35727,0.0,0.0,0.0,0.0,0.13171,0.00164,0.0,0.0,8.7193,0.0,0.0,0.0,0.03348,0.0,0.0,0
0.0,0.0,0.05659,0.11849,0.0,0.0,0.0,0.44638,0.08964,0.0,0.0,0.0,0.0,0.0,0.32975,0.0,1.11914,0.0,0.0,0.0,0.0,0.0,0.0,2.52888,0.0,0.0,0.39154,0.03132,0.0,0.0,0
0.0,0.0,0.23832,0.0,0.0,0.0,0.0,0.35033,0.04759,0.0,0.0,0.0,0.0,0.0,0.22727,0.0,0.0,0.0,0.0,0.0,0.0,8.93257,0.0,0.14203,0.0,0.16023,0.0,0.00402,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07804,0.03756,0.0,0.0,0.0,0.0,0.0,0.49685,0.0,0.0,0.0,0.0,0.0,0.0,10.81663,0.0,0.2393,0.0,0.11321,0.0,0.0,0.0,0.0,0
0.0,0.0,0.00711,0.0,0.0,0.0,0.0,1.43029,0.19652,0.0,0.0,0.0,0.0,0.0,0.54119,0.0,0.0,0.0,0.0,0.0,0.0,0.42574,0.0,6.61108,0.0,0.09587,0.0,0.00799,0.0,0.0,0
0.0,0.0,0.01149,0.0,0.0,0.0,0.0,1.03561,0.28405,0.0,0.0,0.0,0.0,0.0,0.33629,0.0,0.0,0.0,0.0,0.0,0.0031,0.0,0.0,5.31205,0.0,0.0,0.5312,0.21585,0.0,0.0,0
0.0,0.0,0.14105,0.0,0.0,0.0,0.0,0.08543,0.15968,0.0,0.0,0.0,0.0,0.0,0.39597,0.0,0.08708,0.0,0.0,0.0,0.0,0.38107,0.0,0.61234,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.171,0.30159,0.0,0.0,0.0,0.0,0.0,0.40113,0.0,3.62321,0.0,0.0,0.0,0.0,0.0,0.0,17.41423,0.0,0.0,0.0,0.00311,0.0,0.0,0
