run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	sample_title	bam_ftp
ERR209055	SAMEA2042280	ERX183720	PRJEB1220	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209055/ERR209055_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209055/ERR209055_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209055/MH0001_081026.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209055/MH0001_081026.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/ERR209055	Stool sample from danish	
ERR209059	SAMEA2042281	ERX183724	PRJEB1220	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209059/ERR209059_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209059/ERR209059_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209059/MH0002_090117.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209059/MH0002_090117.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/ERR209059	Stool sample from danish	
ERR209061	SAMEA2042282	ERX183726	PRJEB1220	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209061/ERR209061_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209061/ERR209061_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209061/MH0003_081224.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209061/MH0003_081224.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/ERR209061	Stool sample from danish	
ERR209063	SAMEA2042283	ERX183728	PRJEB1220	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209063/ERR209063_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209063/ERR209063_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209063/MH0004_081026.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209063/MH0004_081026.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/ERR209063	Stool sample from danish	
ERR209069	SAMEA2042285	ERX183734	PRJEB1220	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209069/ERR209069_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209069/ERR209069_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209069/MH0006_lane2.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209069/MH0006_lane2.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/ERR209069	Stool sample from danish	
ERR209070	SAMEA2042285	ERX183735	PRJEB1220	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209070/ERR209070_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209070/ERR209070_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209070/MH0006_lane6.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209070/MH0006_lane6.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/ERR209070	Stool sample from danish	
ERR209071	SAMEA2042285	ERX183736	PRJEB1220	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209071/ERR209071_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209071/ERR209071_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209071/MH0006_lane7.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209071/MH0006_lane7.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/ERR209071	Stool sample from danish	
ERR209073	SAMEA2042286	ERX183738	PRJEB1220	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209073/ERR209073_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209073/ERR209073_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209073/MH0007_081109.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209073/MH0007_081109.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/ERR209073	Stool sample from danish	
ERR209077	SAMEA2042360	ERX183742	PRJEB1220	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209077/ERR209077_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209077/ERR209077_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209077/MH0009_081203.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209077/MH0009_081203.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/ERR209077	Stool sample from danish	
ERR209078	SAMEA2042360	ERX183743	PRJEB1220	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209078/ERR209078_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209078/ERR209078_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209078/MH0009_081224.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209078/MH0009_081224.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/ERR209078	Stool sample from danish	
ERR209082	SAMEA2042362	ERX183747	PRJEB1220	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209082/ERR209082_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209082/ERR209082_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209082/MH0011_081203.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209082/MH0011_081203.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/ERR209082	Stool sample from danish	
ERR209085	SAMEA2042363	ERX183750	PRJEB1220	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209085/ERR209085_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209085/ERR209085_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209085/MH0012_081203.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209085/MH0012_081203.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/ERR209085	Stool sample from danish	
ERR209089	SAMEA2042363	ERX183754	PRJEB1220	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209089/ERR209089_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209089/ERR209089_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209089/MH0012_lane3.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209089/MH0012_lane3.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/ERR209089	Stool sample from danish	
ERR209091	SAMEA2042363	ERX183756	PRJEB1220	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209091/ERR209091_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209091/ERR209091_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209091/MH0012_lane5.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209091/MH0012_lane5.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/ERR209091	Stool sample from danish	
ERR209096	SAMEA2042365	ERX183761	PRJEB1220	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209096/ERR209096_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209096/ERR209096_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209096/MH0014_090120.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209096/MH0014_090120.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/ERR209096	Stool sample from danish	
ERR209098	SAMEA2042366	ERX183763	PRJEB1220	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209098/ERR209098_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209098/ERR209098_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209098/MH0015_081119.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209098/MH0015_081119.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/ERR209098	Stool sample from danish	
