#mpa_vJun23_CHOCOPhlAnSGB_202403
#/home/ubuntu/anaconda3/envs/metaphlan/bin/metaphlan ./ts/ERR209095_1.fastq,./ts/ERR209095_2.fastq --nproc 60 --input_type fastq -o ./output/ERR209095_mtphlan.txt --bowtie2out ./output/ERR209095.bowtie2out.bz2
#9268902 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.94017	
k__Archaea	2157	0.05983	
k__Bacteria|p__Firmicutes	2|1239	64.82293	
k__Bacteria|p__Bacteroidota	2|976	29.80756	
k__Bacteria|p__Proteobacteria	2|1224	4.72568	
k__Bacteria|p__Tenericutes	2|544448	0.28272	
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.13152	
k__Bacteria|p__Lentisphaerae	2|256845	0.12834	
k__Archaea|p__Euryarchaeota	2157|28890	0.05983	
k__Bacteria|p__Verrucomicrobia	2|74201	0.0234	
k__Bacteria|p__Actinobacteria	2|201174	0.01802	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	40.25744	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	29.80756	
k__Bacteria|p__Firmicutes|c__CFGB1776	2|1239|	9.86391	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	4.42446	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	2.62927	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	2.15219	
k__Bacteria|p__Firmicutes|c__CFGB1474	2|1239|	1.90048	
k__Bacteria|p__Proteobacteria|c__CFGB10055	2|1224|	1.7342	
k__Bacteria|p__Firmicutes|c__CFGB1325	2|1239|	1.32701	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.26814	
k__Bacteria|p__Firmicutes|c__CFGB2834	2|1239|	0.3559	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.34929	
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	0.34183	
k__Bacteria|p__Firmicutes|c__CFGB1359	2|1239|	0.33884	
k__Bacteria|p__Tenericutes|c__CFGB1787	2|544448|	0.28272	
k__Bacteria|p__Firmicutes|c__CFGB72924	2|1239|	0.26217	
k__Bacteria|p__Firmicutes|c__CFGB10021	2|1239|	0.25666	
k__Bacteria|p__Firmicutes|c__CFGB9272	2|1239|	0.2145	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.18719	
k__Bacteria|p__Firmicutes|c__CFGB3062	2|1239|	0.18007	
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	0.14619	
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.14467	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.13734	
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	0.13231	
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2107	2|1798710|	0.13152	
k__Bacteria|p__Lentisphaerae|c__CFGB2378	2|256845|	0.12834	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.11737	
k__Bacteria|p__Firmicutes|c__CFGB2839	2|1239|	0.11609	
k__Bacteria|p__Firmicutes|c__CFGB1211	2|1239|	0.11264	
k__Bacteria|p__Firmicutes|c__CFGB1354	2|1239|	0.08444	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.06481	
k__Bacteria|p__Firmicutes|c__CFGB3023	2|1239|	0.06171	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.05983	
k__Bacteria|p__Firmicutes|c__CFGB2985	2|1239|	0.05041	
k__Bacteria|p__Firmicutes|c__CFGB1260	2|1239|	0.05019	
k__Bacteria|p__Firmicutes|c__CFGB1126	2|1239|	0.04903	
k__Bacteria|p__Firmicutes|c__CFGB9989	2|1239|	0.03852	
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.03224	
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.02693	
k__Bacteria|p__Firmicutes|c__CFGB4616	2|1239|	0.02628	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.0234	
k__Bacteria|p__Firmicutes|c__CFGB9120	2|1239|	0.02168	
k__Bacteria|p__Firmicutes|c__CFGB4605	2|1239|	0.02087	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.01802	
k__Bacteria|p__Firmicutes|c__CFGB1425	2|1239|	0.01357	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.01292	
k__Bacteria|p__Firmicutes|c__CFGB2936	2|1239|	0.01141	
k__Bacteria|p__Firmicutes|c__CFGB2915	2|1239|	0.01032	
k__Bacteria|p__Firmicutes|c__CFGB79294	2|1239|	0.00816	
k__Bacteria|p__Firmicutes|c__CFGB3038	2|1239|	0.00708	
k__Bacteria|p__Firmicutes|c__CFGB4559	2|1239|	0.00513	
k__Bacteria|p__Firmicutes|c__CFGB2844	2|1239|	0.00273	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	40.25744	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	29.80756	
k__Bacteria|p__Firmicutes|c__CFGB1776|o__OFGB1776	2|1239||	9.86391	
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765	2|1239||	4.42446	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	2.62927	
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	2|1239||	2.15219	
k__Bacteria|p__Firmicutes|c__CFGB1474|o__OFGB1474	2|1239||	1.90048	
k__Bacteria|p__Proteobacteria|c__CFGB10055|o__OFGB10055	2|1224||	1.7342	
k__Bacteria|p__Firmicutes|c__CFGB1325|o__OFGB1325	2|1239||	1.32701	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	1.26814	
k__Bacteria|p__Firmicutes|c__CFGB2834|o__OFGB2834	2|1239||	0.3559	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.34929	
k__Bacteria|p__Firmicutes|c__CFGB14936|o__OFGB14936	2|1239||	0.34183	
k__Bacteria|p__Firmicutes|c__CFGB1359|o__OFGB1359	2|1239||	0.33884	
k__Bacteria|p__Tenericutes|c__CFGB1787|o__OFGB1787	2|544448||	0.28272	
k__Bacteria|p__Firmicutes|c__CFGB72924|o__OFGB72924	2|1239||	0.26217	
k__Bacteria|p__Firmicutes|c__CFGB10021|o__OFGB10021	2|1239||	0.25666	
k__Bacteria|p__Firmicutes|c__CFGB9272|o__OFGB9272	2|1239||	0.2145	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.18719	
k__Bacteria|p__Firmicutes|c__CFGB3062|o__OFGB3062	2|1239||	0.18007	
k__Bacteria|p__Firmicutes|c__CFGB10477|o__OFGB10477	2|1239||	0.14619	
k__Bacteria|p__Firmicutes|c__CFGB1226|o__OFGB1226	2|1239||	0.14467	
k__Bacteria|p__Firmicutes|c__CFGB3054|o__OFGB3054	2|1239||	0.13734	
k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982	2|1239||	0.13231	
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2107|o__OFGB2107	2|1798710||	0.13152	
k__Bacteria|p__Lentisphaerae|c__CFGB2378|o__OFGB2378	2|256845||	0.12834	
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292	2|1239||	0.11737	
k__Bacteria|p__Firmicutes|c__CFGB2839|o__OFGB2839	2|1239||	0.11609	
k__Bacteria|p__Firmicutes|c__CFGB1211|o__OFGB1211	2|1239||	0.11264	
k__Bacteria|p__Firmicutes|c__CFGB1354|o__OFGB1354	2|1239||	0.08444	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.06481	
k__Bacteria|p__Firmicutes|c__CFGB3023|o__OFGB3023	2|1239||	0.06171	
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0.05983	
k__Bacteria|p__Firmicutes|c__CFGB2985|o__OFGB2985	2|1239||	0.05041	
k__Bacteria|p__Firmicutes|c__CFGB1260|o__OFGB1260	2|1239||	0.05019	
k__Bacteria|p__Firmicutes|c__CFGB1126|o__OFGB1126	2|1239||	0.04903	
k__Bacteria|p__Firmicutes|c__CFGB9989|o__OFGB9989	2|1239||	0.03852	
k__Bacteria|p__Firmicutes|c__CFGB3070|o__OFGB3070	2|1239||	0.03224	
k__Bacteria|p__Firmicutes|c__CFGB1011|o__OFGB1011	2|1239||	0.02693	
k__Bacteria|p__Firmicutes|c__CFGB4616|o__OFGB4616	2|1239||	0.02628	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	0.0234	
k__Bacteria|p__Firmicutes|c__CFGB9120|o__OFGB9120	2|1239||	0.02168	
k__Bacteria|p__Firmicutes|c__CFGB4605|o__OFGB4605	2|1239||	0.02087	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	0.01802	
k__Bacteria|p__Firmicutes|c__CFGB1425|o__OFGB1425	2|1239||	0.01357	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.01292	
k__Bacteria|p__Firmicutes|c__CFGB2936|o__OFGB2936	2|1239||	0.01141	
k__Bacteria|p__Firmicutes|c__CFGB2915|o__OFGB2915	2|1239||	0.01032	
k__Bacteria|p__Firmicutes|c__CFGB79294|o__OFGB79294	2|1239||	0.00816	
k__Bacteria|p__Firmicutes|c__CFGB3038|o__OFGB3038	2|1239||	0.00708	
k__Bacteria|p__Firmicutes|c__CFGB4559|o__OFGB4559	2|1239||	0.00513	
k__Bacteria|p__Firmicutes|c__CFGB2844|o__OFGB2844	2|1239||	0.00273	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	24.06442	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	19.73391	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	10.53728	
k__Bacteria|p__Firmicutes|c__CFGB1776|o__OFGB1776|f__FGB1776	2|1239|||	9.86391	
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765	2|1239|||	4.42446	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	2|1239|186801|186802|31979	4.17056	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	3.86752	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae	2|976|200643|171549|2005519	2.74102	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	2.62927	
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642|f__FGB38642	2|1239|||	2.15219	
k__Bacteria|p__Firmicutes|c__CFGB1474|o__OFGB1474|f__FGB1474	2|1239|||	1.90048	
k__Bacteria|p__Proteobacteria|c__CFGB10055|o__OFGB10055|f__FGB10055	2|1224|||	1.7342	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	1.51872	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	2|976|200643|171549|2005525	1.40334	
k__Bacteria|p__Firmicutes|c__CFGB1325|o__OFGB1325|f__FGB1325	2|1239|||	1.32701	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	2|1239|909932|1843488|909930	1.26814	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_incertae_sedis	2|1239|186801|186802|538999	1.0396	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae	2|976|200643|171549|1853231	0.54304	
k__Bacteria|p__Firmicutes|c__CFGB2834|o__OFGB2834|f__FGB2834	2|1239|||	0.3559	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	2|1224|28216|80840|995019	0.34929	
k__Bacteria|p__Firmicutes|c__CFGB14936|o__OFGB14936|f__FGB14936	2|1239|||	0.34183	
k__Bacteria|p__Firmicutes|c__CFGB1359|o__OFGB1359|f__FGB1359	2|1239|||	0.33884	
