#mpa_vJun23_CHOCOPhlAnSGB_202403
#/home/ubuntu/anaconda3/envs/metaphlan/bin/metaphlan ERR209055_1.fastq,ERR209055_2.fastq --bowtie2out ../output/ERR209055_metaphlan.bowtie2.bz2 --input_type fastq -o ../output/ERR209055_metaphlan.txt --read_min_len 30
#22211476 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.95332	
k__Archaea	2157	0.04668	
k__Bacteria|p__Bacteroidota	2|976	67.257	
k__Bacteria|p__Firmicutes	2|1239	31.6179	
k__Bacteria|p__Proteobacteria	2|1224	0.51756	
k__Bacteria|p__Actinobacteria	2|201174	0.26343	
k__Bacteria|p__Tenericutes	2|544448	0.18721	
k__Bacteria|p__Verrucomicrobia	2|74201	0.1095	
k__Archaea|p__Euryarchaeota	2157|28890	0.04668	
k__Bacteria|p__Lentisphaerae	2|256845	0.00072	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	63.57365	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	25.7618	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	2.2399	
k__Bacteria|p__Bacteroidota|c__CFGB4405	2|976|	2.0146	
k__Bacteria|p__Bacteroidota|c__CFGB658	2|976|	1.44529	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	0.67298	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.40231	
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	0.38015	
k__Bacteria|p__Firmicutes|c__CFGB1777	2|1239|	0.2758	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.25926	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.20932	
k__Bacteria|p__Firmicutes|c__CFGB9119	2|1239|	0.17565	
k__Bacteria|p__Firmicutes|c__CFGB72924	2|1239|	0.15622	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.14271	
k__Bacteria|p__Bacteroidota|c__CFGB529	2|976|	0.13776	
k__Bacteria|p__Tenericutes|c__CFGB1789	2|544448|	0.11667	
k__Bacteria|p__Firmicutes|c__CFGB10318	2|1239|	0.11073	
k__Bacteria|p__Firmicutes|c__CFGB1325	2|1239|	0.10699	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.10631	
k__Bacteria|p__Firmicutes|c__CFGB2873	2|1239|	0.09486	
k__Bacteria|p__Firmicutes|c__CFGB1798	2|1239|	0.08819	
k__Bacteria|p__Bacteroidota|c__CFGB11479	2|976|	0.08571	
k__Bacteria|p__Firmicutes|c__CFGB1354	2|1239|	0.08508	
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.07828	
k__Bacteria|p__Firmicutes|c__CFGB73062	2|1239|	0.07405	
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	0.07055	
k__Bacteria|p__Tenericutes|c__CFGB1787	2|544448|	0.07054	
k__Bacteria|p__Firmicutes|c__CFGB79270	2|1239|	0.06543	
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.06394	
k__Bacteria|p__Firmicutes|c__CFGB2839	2|1239|	0.06182	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.05896	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.0563	
k__Bacteria|p__Firmicutes|c__CFGB32970	2|1239|	0.0541	
k__Bacteria|p__Firmicutes|c__CFGB58291	2|1239|	0.05052	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.04668	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.04577	
k__Bacteria|p__Firmicutes|c__CFGB1355	2|1239|	0.03823	
k__Bacteria|p__Firmicutes|c__CFGB77220	2|1239|	0.03733	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.03569	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.03494	
k__Bacteria|p__Firmicutes|c__CFGB3062	2|1239|	0.03294	
k__Bacteria|p__Firmicutes|c__CFGB4559	2|1239|	0.02936	
k__Bacteria|p__Firmicutes|c__CFGB4806	2|1239|	0.02867	
k__Bacteria|p__Firmicutes|c__CFGB1359	2|1239|	0.02088	
k__Bacteria|p__Firmicutes|c__CFGB9272	2|1239|	0.02015	
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.01957	
k__Bacteria|p__Firmicutes|c__CFGB4605	2|1239|	0.01937	
k__Bacteria|p__Firmicutes|c__CFGB78183	2|1239|	0.01745	
k__Bacteria|p__Firmicutes|c__CFGB2845	2|1239|	0.01719	
k__Bacteria|p__Firmicutes|c__CFGB8294	2|1239|	0.01648	
k__Bacteria|p__Firmicutes|c__CFGB2932	2|1239|	0.01622	
k__Bacteria|p__Firmicutes|c__CFGB28372	2|1239|	0.01584	
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	0.01481	
k__Bacteria|p__Firmicutes|c__CFGB1211	2|1239|	0.01452	
k__Bacteria|p__Firmicutes|c__CFGB1776	2|1239|	0.01434	
k__Bacteria|p__Firmicutes|c__CFGB2881	2|1239|	0.01324	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.01222	
k__Bacteria|p__Firmicutes|c__CFGB2936	2|1239|	0.01103	
k__Bacteria|p__Firmicutes|c__CFGB79251	2|1239|	0.01051	
k__Bacteria|p__Firmicutes|c__CFGB79294	2|1239|	0.0102	
k__Bacteria|p__Firmicutes|c__CFGB79237	2|1239|	0.00903	
k__Bacteria|p__Actinobacteria|c__CFGB12107	2|201174|	0.00834	
k__Bacteria|p__Firmicutes|c__CFGB2834	2|1239|	0.00665	
k__Bacteria|p__Firmicutes|c__CFGB9989	2|1239|	0.00624	
k__Bacteria|p__Firmicutes|c__CFGB1374	2|1239|	0.00536	
k__Bacteria|p__Firmicutes|c__CFGB3023	2|1239|	0.00518	
k__Bacteria|p__Firmicutes|c__CFGB1258	2|1239|	0.00476	
k__Bacteria|p__Firmicutes|c__CFGB2837	2|1239|	0.00362	
k__Bacteria|p__Firmicutes|c__CFGB10314	2|1239|	0.00323	
k__Bacteria|p__Verrucomicrobia|c__Opitutae	2|74201|414999	0.00319	
k__Bacteria|p__Firmicutes|c__CFGB3047	2|1239|	0.00167	
k__Bacteria|p__Firmicutes|c__CFGB1780	2|1239|	0.0015	
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.00072	
k__Bacteria|p__Firmicutes|c__CFGB58251	2|1239|	0.00024	
k__Bacteria|p__Firmicutes|c__CFGB2952	2|1239|	0.00023	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	63.57365	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	25.7618	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	2.1415	
k__Bacteria|p__Bacteroidota|c__CFGB4405|o__OFGB4405	2|976||	2.0146	
k__Bacteria|p__Bacteroidota|c__CFGB658|o__OFGB658	2|976||	1.44529	
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765	2|1239||	0.67298	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.40231	
k__Bacteria|p__Firmicutes|c__CFGB14936|o__OFGB14936	2|1239||	0.38015	
k__Bacteria|p__Firmicutes|c__CFGB1777|o__OFGB1777	2|1239||	0.2758	
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	2|1239||	0.25926	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	0.20932	
