#mpa_vJun23_CHOCOPhlAnSGB_202403
#/home/ubuntu/anaconda3/envs/metaphlan/bin/metaphlan --bowtie2out ./output/ERR209072.bowtie2out.bz2 /media/ubuntu/My Passport/NieisenHB 2014 PRIEB1220/ERR209072_1.fastq,/media/ubuntu/My Passport/NieisenHB 2014 PRIEB1220/ERR209072_2.fastq --nproc 60 --input_type fastq --read_min_len 50 -o ./output/ERR209072_mtphlan.txt
#25801854 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Bacteroidota	2|976	50.31896	
k__Bacteria|p__Firmicutes	2|1239	45.10997	
k__Bacteria|p__Proteobacteria	2|1224	3.01844	
k__Bacteria|p__Tenericutes	2|544448	0.63124	
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.56679	
k__Bacteria|p__Lentisphaerae	2|256845	0.19975	
k__Bacteria|p__Actinobacteria	2|201174	0.15217	
k__Bacteria|p__Verrucomicrobia	2|74201	0.00269	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	45.98525	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	32.37762	
k__Bacteria|p__Bacteroidota|c__CFGB11479	2|976|	3.64816	
k__Bacteria|p__Proteobacteria|c__CFGB2404	2|1224|	1.85437	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	1.65878	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.61168	
k__Bacteria|p__Firmicutes|c__CFGB79294	2|1239|	0.92354	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.84648	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.81559	
k__Bacteria|p__Bacteroidota|c__CFGB544	2|976|	0.68555	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.66838	
k__Bacteria|p__Firmicutes|c__CFGB2829	2|1239|	0.51856	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.5083	
k__Bacteria|p__Tenericutes|c__CFGB1787	2|544448|	0.50673	
k__Bacteria|p__Firmicutes|c__CFGB73062	2|1239|	0.47743	
k__Bacteria|p__Firmicutes|c__CFGB1380	2|1239|	0.41802	
k__Bacteria|p__Firmicutes|c__CFGB2837	2|1239|	0.39759	
k__Bacteria|p__Firmicutes|c__CFGB10318	2|1239|	0.37915	
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified	2|1798710|	0.36	
k__Bacteria|p__Firmicutes|c__CFGB72924	2|1239|	0.35114	
k__Bacteria|p__Firmicutes|c__CFGB1474	2|1239|	0.34092	
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	0.33794	
k__Bacteria|p__Firmicutes|c__CFGB2942	2|1239|	0.3008	
k__Bacteria|p__Firmicutes|c__CFGB1325	2|1239|	0.26388	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.24106	
k__Bacteria|p__Firmicutes|c__CFGB1798	2|1239|	0.22725	
k__Bacteria|p__Firmicutes|c__CFGB58251	2|1239|	0.18916	
k__Bacteria|p__Lentisphaerae|c__CFGB2378	2|256845|	0.17236	
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.172	
k__Bacteria|p__Firmicutes|c__CFGB73902	2|1239|	0.16812	
k__Bacteria|p__Firmicutes|c__CFGB2873	2|1239|	0.14012	
k__Bacteria|p__Firmicutes|c__CFGB1359	2|1239|	0.13782	
k__Bacteria|p__Firmicutes|c__CFGB2952	2|1239|	0.12529	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.11234	
k__Bacteria|p__Firmicutes|c__CFGB1355	2|1239|	0.11074	
k__Bacteria|p__Firmicutes|c__CFGB73076	2|1239|	0.10851	
k__Bacteria|p__Firmicutes|c__CFGB79363	2|1239|	0.09965	
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	0.0905	
k__Bacteria|p__Firmicutes|c__CFGB58291	2|1239|	0.08846	
k__Bacteria|p__Firmicutes|c__CFGB3062	2|1239|	0.08772	
k__Bacteria|p__Firmicutes|c__CFGB1473	2|1239|	0.07897	
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2106	2|1798710|	0.07841	
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2104	2|1798710|	0.07781	
k__Bacteria|p__Proteobacteria|c__CFGB2403	2|1224|	0.07652	
k__Bacteria|p__Firmicutes|c__CFGB9989	2|1239|	0.07218	
k__Bacteria|p__Firmicutes|c__CFGB9120	2|1239|	0.06543	
k__Bacteria|p__Tenericutes|c__CFGB1800	2|544448|	0.06403	
k__Bacteria|p__Firmicutes|c__CFGB78183	2|1239|	0.06194	
k__Bacteria|p__Tenericutes|c__CFGB1789	2|544448|	0.06048	
k__Bacteria|p__Firmicutes|c__CFGB4605	2|1239|	0.05985	
k__Bacteria|p__Firmicutes|c__CFGB3625	2|1239|	0.05923	
k__Bacteria|p__Firmicutes|c__CFGB2984	2|1239|	0.05789	
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.05116	
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2107	2|1798710|	0.05057	
k__Bacteria|p__Firmicutes|c__CFGB32970	2|1239|	0.04114	
k__Bacteria|p__Firmicutes|c__CFGB1211	2|1239|	0.03987	
k__Bacteria|p__Firmicutes|c__CFGB2935	2|1239|	0.03892	
k__Bacteria|p__Firmicutes|c__CFGB4559	2|1239|	0.03854	
k__Bacteria|p__Firmicutes|c__CFGB1298	2|1239|	0.03843	
k__Bacteria|p__Actinobacteria|c__CFGB77988	2|201174|	0.03786	
k__Bacteria|p__Firmicutes|c__CFGB1201	2|1239|	0.03465	
k__Bacteria|p__Firmicutes|c__CFGB3072	2|1239|	0.02888	
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.02739	
k__Bacteria|p__Firmicutes|c__CFGB3023	2|1239|	0.0243	
k__Bacteria|p__Firmicutes|c__CFGB2930	2|1239|	0.02295	
k__Bacteria|p__Firmicutes|c__CFGB1354	2|1239|	0.02152	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.02151	
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	0.02017	
k__Bacteria|p__Firmicutes|c__CFGB3071	2|1239|	0.01949	
k__Bacteria|p__Firmicutes|c__CFGB78317	2|1239|	0.01607	
k__Bacteria|p__Firmicutes|c__CFGB2960	2|1239|	0.01536	
k__Bacteria|p__Firmicutes|c__CFGB4529	2|1239|	0.01351	
k__Bacteria|p__Firmicutes|c__CFGB3047	2|1239|	0.01206	
k__Bacteria|p__Firmicutes|c__CFGB2881	2|1239|	0.0115	
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.01091	
k__Bacteria|p__Firmicutes|c__CFGB2949	2|1239|	0.00963	
k__Bacteria|p__Firmicutes|c__CFGB10021	2|1239|	0.0066	
k__Bacteria|p__Firmicutes|c__CFGB47591	2|1239|	0.00604	
k__Bacteria|p__Firmicutes|c__CFGB73223	2|1239|	0.00573	
k__Bacteria|p__Firmicutes|c__CFGB45555	2|1239|	0.00313	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.00269	
k__Bacteria|p__Firmicutes|c__CFGB9714	2|1239|	0.00241	
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.00214	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.00198	
k__Bacteria|p__Firmicutes|c__CFGB9583	2|1239|	0.00164	
k__Bacteria|p__Firmicutes|c__CFGB2924	2|1239|	0.0007	
k__Bacteria|p__Firmicutes|c__CFGB16911	2|1239|	0.00042	
k__Bacteria|p__Firmicutes|c__CFGB9238	2|1239|	0.00041	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	45.98525	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	32.37134	
k__Bacteria|p__Bacteroidota|c__CFGB11479|o__OFGB11479	2|976||	3.64816	
k__Bacteria|p__Proteobacteria|c__CFGB2404|o__OFGB2404	2|1224||	1.85437	
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765	2|1239||	1.65878	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	1.61168	
k__Bacteria|p__Firmicutes|c__CFGB79294|o__OFGB79294	2|1239||	0.92354	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.84648	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.81559	
k__Bacteria|p__Bacteroidota|c__CFGB544|o__OFGB544	2|976||	0.68555	
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	2|1239||	0.66838	
k__Bacteria|p__Firmicutes|c__CFGB2829|o__OFGB2829	2|1239||	0.51856	
k__Bacteria|p__Firmicutes|c__CFGB3054|o__OFGB3054	2|1239||	0.5083	
k__Bacteria|p__Tenericutes|c__CFGB1787|o__OFGB1787	2|544448||	0.50673	
k__Bacteria|p__Firmicutes|c__CFGB73062|o__OFGB73062	2|1239||	0.47743	
k__Bacteria|p__Firmicutes|c__CFGB1380|o__OFGB1380	2|1239||	0.41802	
k__Bacteria|p__Firmicutes|c__CFGB2837|o__OFGB2837	2|1239||	0.39759	
k__Bacteria|p__Firmicutes|c__CFGB10318|o__OFGB10318	2|1239||	0.37915	
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified|o__Candidatus_Gastranaerophilales	2|1798710||1906119	0.36	
k__Bacteria|p__Firmicutes|c__CFGB72924|o__OFGB72924	2|1239||	0.35114	
k__Bacteria|p__Firmicutes|c__CFGB1474|o__OFGB1474	2|1239||	0.34092	
k__Bacteria|p__Firmicutes|c__CFGB14936|o__OFGB14936	2|1239||	0.33794	
